Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A02,,,,,1,15.3145341873169,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,306.290679931641,,,17.4442882537842,13.1886301040649,15387,199,15188,5,194,376,14812,0.00576074516441089,1.03836143016815,,,1.21636804597522,0.860354859264978,2,,,,,,,2,0.519180726310049,,,0.608184022987609,0.430177429632489,34.1750469393521,,,38.0314925383384,30.3186013403657,16915.648015468,1878.69899513661,2073.17178743179,,,,,16.4006633758545,14.2294092178345,,,1.12918110137063,0.947541803869569,,,0.564590550685313,0.473770901934784,,,36.1426203203377,32.2074735583665,No
A02,,,,,2,29.497501373291,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,589.950012207031,,,32.4632720947266,26.5391883850098,15387,381,15006,5,194,376,14812,0.00576074516441089,,,,,,,,,,,,,,,,,,,,,,,,9205.40210665806,2943.17854513468,3098.23847734631,,,,,31.0097160339355,27.9872283935547,,,,,,,,,,,,,No
A03,,,,,1,7.9232873916626,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,158.465744018555,,,9.34775257110596,6.50054550170898,17729,119,17610,1,118,223,17387,0,1.05933272838593,,,1.29485935859391,0.823806194869428,2,,,,,,,2,0.529666388365835,,,0.647429679296956,0.411903097434714,34.6262683415359,,,39.6591473007012,29.5933893823706,16458.0058757878,1780.75571677247,1879.27186370252,,,,,8.64983940124512,7.19718360900879,,,1.17949932237341,0.939166231089931,,,0.589749661186705,0.469583115544965,,,37.1940620672973,32.0584746157746,No
A03,,,,,2,14.9590148925781,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,299.180297851563,,,16.9196643829346,13.0016279220581,17729,224,17505,1,118,223,17387,0,,,,,,,,,,,,,,,,,,,,,,,,8847.23998587472,2826.57141740892,2902.64055607079,,,,,15.9589376449585,13.9599409103394,,,,,,,,,,,,,No
A04,,,,,1,17.6660137176514,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,353.320281982422,,,19.862377166748,15.4737424850464,16707,249,16458,3,246,241,16217,0,2.0412929058075,,,2.40170122705821,1.68088470012983,2,,,,,,,2,1.02064648179701,,,1.20085061352911,0.840442350064915,50.5108880247734,,,54.9243975297893,46.0973785197574,16362.1283963981,1755.10422813016,1972.80633011727,,,,,18.7860946655273,16.5469970703125,,,2.22517454362794,1.8574113835601,,,1.11258727181397,0.928705691780052,,,52.7626762980954,48.2590997514513,No
A04,,,,,2,17.308650970459,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,346.173034667969,,,19.4825019836426,15.1388120651245,16707,244,16463,3,246,241,16217,0,,,,,,,,,,,,,,,,,,,,,,,,8848.88202804816,2798.89864706158,2887.25657756739,,,,,18.41725730896,16.2010917663574,,,,,,,,,,,,,No
A05,,,,,1,9.08098983764648,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,181.61979675293,,,11.0649785995483,7.35137462615967,12095,93,12002,1,92,179,11823,0,1.02958834171295,,,1.28832298503004,0.770853779623018,2,,,,,,,2,0.514794191163265,,,0.644161492515021,0.385426889811509,33.9844312954446,,,39.6223298432013,28.3465327476878,16736.2276020665,1792.81888023342,1907.72065874772,,,,,10.0550537109375,8.17247200012207,,,1.1610376111843,0.898139153468763,,,0.580518805592148,0.449069576734382,,,36.8487463454504,31.1201162454387,No
A05,,,,,2,17.6400394439697,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,352.80078125,,,20.2199211120605,15.0658044815063,12095,180,11915,1,92,179,11823,0,,,,,,,,,,,,,,,,,,,,,,,,9046.01836480035,2901.60906912243,2993.05129096799,,,,,18.9555988311768,16.3259506225586,,,,,,,,,,,,,No
A06,,,,,1,28.1980113983154,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,563.960205078125,,,31.1064987182617,25.2966938018799,15285,362,14923,7,355,331,14592,0,2.14372706413269,,,2.46154081029827,1.82591354866746,2,,3890.2109375,,,,,2,1.07186358974143,,,1.23077040514913,0.912956774333732,51.7342741601633,,,55.4361360127126,48.032412307614,16641.0677362094,1812.31602183854,2163.51053414487,,,,,29.6810340881348,26.7168521881104,,,2.30587678792434,1.9815775710414,,,1.15293839396217,0.990788785520698,,,53.6229768201317,49.8455715001948,No
A06,,,,,2,26.3074626922607,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,526.149230957031,,,29.1155071258545,23.5061054229736,15285,338,14947,7,355,331,14592,0,,,,,,,,3878.80053710938,,,,,,,,,,,,,,,,9068.94433738212,2903.80406149253,3040.13493576474,,,,,27.7393016815186,24.8773651123047,,,,,,,,,,,,,No
